name                     login                    password                 

andrew peters            crazymouse662            1120                    
delores sanchez          orangebird716            castor                  
june fletcher            bigbird407               kingston                
sonia knight             bigduck530               kenobi                  
clifton henry            ticklishmeercat681       adam25                  
leo rivera               greentiger586            kitty                   
marc kennedy             heavyduck326             jarrett                 
louella lowe             purplemeercat183         spankme                 
reginald ryan            bigleopard318            lickme                  
jenny flores             silvercat149             moonbeam                
